config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,cc_fire_count
all-on,175,300,58.3,0.3,2.8,1.0000,11,12,158.2605,104.6346,53.6259,1051094,693672,34.00,261
CacheHit-off,179,300,59.7,1.7,2.8,0.4421,11,16,158.2605,99.8265,58.4340,1051094,661578,37.06,286
ContextCompress-off,174,300,58.0,0.0,2.8,1.0000,9,9,158.2605,158.2701,-0.0096,1051094,1051094,0.00,0
ParallelBranch-off,174,300,58.0,0.0,2.8,1.0000,14,14,158.2605,103.9886,54.2719,1051094,689389,34.41,264
ModelDowngrade-off,171,300,57.0,-1.0,2.9,0.6900,14,11,158.2605,106.1028,52.1577,1051094,703368,33.08,255
StateDrop-off,178,300,59.3,1.3,2.8,0.5716,12,16,158.2605,100.0790,58.1816,1051094,663357,36.89,283
CacheHit-only,174,300,58.0,0.0,2.8,1.0000,8,8,158.2605,158.2659,-0.0054,1051094,1051094,0.00,0
ContextCompress-only,179,300,59.7,1.7,2.8,0.4244,10,15,158.2605,101.0704,57.1901,1051094,669927,36.26,280
ParallelBranch-only,170,300,56.7,-1.3,2.9,0.3877,8,4,158.2605,158.2569,0.0036,1051094,1051094,0.00,0
ModelDowngrade-only,175,300,58.3,0.3,2.8,1.0000,6,7,158.2605,158.2461,0.0144,1051094,1051094,0.00,0
StateDrop-only,171,300,57.0,-1.0,2.9,0.6072,9,6,158.2605,158.2551,0.0054,1051094,1051094,0.00,0
