config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB,baseline_cost_mUSD,optimized_cost_mUSD,cost_savings_mUSD,input_tokens_baseline,input_tokens_optimized,input_token_savings_pct,cc_fire_count,sd_fire_count
ContextCompress-only,225,300,75.0,-1.3,2.5,0.2891,6,2,0.0000,0.0000,0.0000,2211824,1636673,26.00,350,0
all-on,226,300,75.3,-1.0,2.5,0.5488,7,4,0.0000,0.0000,0.0000,2211824,1901898,14.01,184,260
