config,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BF,FB
baseline,50,50,100.0,0.0,0.0,1.0,0,0
StateDrop-only,49,50,98.0,-2.0,2.0,1.0,1,0
