config,call_site_id,n_observations,n_call_sites_in_config,mean_obs_in_config,warmup_tasks,measurement_tasks,overlap_tasks,overlap_fraction
ContextCompress-only,__main__:_create_with_retry:74,60,1,60.0,30,300,30,30/300=10.0%
all-on,__main__:_create_with_retry:74,60,1,60.0,30,300,30,30/300=10.0%
