method,n_pass,n_total,acc_pct,acc_delta_pp,se_pp,mcnemar_p,BB,BF,FB,FF
baseline,68,100,68.0,0.0,4.7,1.0,100,0,0,0
AgentcV2-CC,100,100,100.0,32.0,0.0,0.0,68,0,32,0
